Target Name,Target Pos X,Target Pos Y,Target Velocity,Power,Distance,Hit
sample.Fire,310.1985265183249,244.32417859713573,0.0,2.0,405.79665630300144,0
sample.Walls,676.0733909064865,26.86338989826777,7.0,2.0,483.78593586452286,0
sample.Walls,129.8987301329621,45.969551558354,8.0,1.0,597.0984211425526,0
sample.Walls,17.862810722244433,506.13595006398276,8.0,2.0,384.8759166666904,0
sample.Walls,789.5724057290431,559.1143708237754,0.0,2.0,322.8661261637908,0
sample.Walls,610.5024758416014,5.912191597053038,8.0,2.0,466.9379386175454,0
sample.Walls,-14.51895577883056,43.39121860242784,2.0,1.0,554.0837470300328,0
sample.Walls,349.01876410877867,545.1675307392773,8.0,2.0,226.64827688953332,0
sample.Walls,798.887657166187,527.898743310317,3.0,1.0,719.6250606472008,0
sample.Walls,755.4926024445948,-27.76566377124385,5.0,1.0,659.9822239378032,0
sample.Walls,20.989884236924297,52.17453320724637,0.0,3.0,196.80329310910275,0
sample.Walls,52.49625109909687,611.781461738072,0.0,1.0,642.3246115239932,0
sample.Walls,718.9422446646121,575.5837242245026,8.0,2.0,464.5217738019919,0
sample.Walls,750.280835786861,18.567414318463307,0.0,3.0,194.86453304699168,0
sample.Walls,97.04588626532893,59.10845562782541,8.0,1.0,679.1871571116021,0
sample.Walls,11.547507967238971,493.39996439889995,8.0,1.0,674.3842796444799,0
sample.Corners,2.8094417894701422,156.56783409355336,2.0,3.0,192.26505771564075,0
